;currencies;news_date;negative_norm;important_norm;disliked_norm;liked_norm;lol_norm;toxic_norm;saved_norm;comments_norm;attention_score
0;ADA;2021-01-02;0.0;0.41667;0.0;0.53333;0.0;0.0;0.03333;0.01667;0.16960463178578816
1;ADA;2021-01-04;0.0;0.33333;0.0;0.66667;0.0;0.0;0.0;0.0;0.11961262687058852
2;ADA;2021-01-06;0.35;0.1;0.25;0.1;0.05;0.0;0.0;0.15;0.10216495120692291
3;ADA;2021-01-07;0.0;0.3;0.0;0.6;0.0;0.0;0.025;0.075;0.21704550083783788
4;ADA;2021-01-09;0.0;0.33929;0.0;0.51786;0.01786;0.0;0.0;0.125;0.24000559689056206
5;ADA;2021-01-10;0.0;0.18182;0.0;0.36364;0.0;0.0;0.18182;0.27273;0.24966985473350417
6;ADA;2021-01-13;0.0;0.2;0.0;0.6;0.0;0.0;0.2;0.0;0.030433390046942684
7;ADA;2021-01-28;0.09091;0.48485;0.0303;0.39394;0.0;0.0;0.0;0.0;0.11034855187919011
8;ADA;2021-02-02;0.0;0.25;0.0;0.75;0.0;0.0;0.0;0.0;0.01150506187126484
9;ADA;2021-02-05;0.11111;0.22222;0.11111;0.33333;0.11111;0.0;0.11111;0.0;0.042638762037867435
10;ADA;2021-02-06;0.0;0.4;0.0;0.6;0.0;0.0;0.0;0.0;0.05009204093224384
11;ADA;2021-02-07;0.07092;0.2766;0.03546;0.40426;0.04255;0.0;0.04255;0.12766;0.2745308044233403
12;ADA;2021-02-08;0.02381;0.42857;0.02381;0.5;0.0;0.0;0.02381;0.0;0.16242146588079934
13;ADA;2021-02-09;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.023670415017995702
14;ADA;2021-02-10;0.0;0.28814;0.01695;0.50847;0.01695;0.0;0.08475;0.08475;0.2366141053638395
15;ADA;2021-02-11;0.04545;0.27273;0.04545;0.54545;0.0;0.0;0.04545;0.04545;0.09960382717097706
16;ADA;2021-02-14;0.06364;0.25455;0.05455;0.44545;0.04545;0.0;0.0;0.13636;0.1652927226820592
17;ADA;2021-02-16;0.05882;0.20588;0.02941;0.47059;0.02941;0.0;0.0;0.20588;0.09100003748613311
18;ADA;2021-02-18;0.16667;0.0;0.16667;0.16667;0.5;0.0;0.0;0.0;0.02478090416907175
19;ADA;2021-02-19;0.03846;0.15385;0.01923;0.30769;0.07692;0.0;0.0;0.40385;0.049631839597600945
20;ADA;2021-02-20;0.05556;0.11111;0.0;0.55556;0.16667;0.0;0.0;0.11111;0.0641082090201906
21;ADA;2021-02-22;0.33333;0.05556;0.11111;0.27778;0.16667;0.0;0.0;0.05556;0.036015846907337584
22;ADA;2021-02-24;0.16667;0.33333;0.0;0.5;0.0;0.0;0.0;0.0;0.023760453923434947
23;ADA;2021-02-25;0.01961;0.30392;0.0;0.42157;0.03922;0.0;0.0098;0.20588;0.1736964283949916
24;ADA;2021-02-26;0.02963;0.31481;0.02593;0.42593;0.05556;0.0;0.00741;0.14074;0.31328783678483296
25;ADA;2021-02-27;0.06849;0.30137;0.05479;0.50685;0.0;0.0;0.0411;0.0274;0.2277802224655344
26;ADA;2021-03-01;0.05469;0.27344;0.04688;0.5;0.01562;0.0;0.03125;0.07812;0.26523670528267174
27;ADA;2021-03-02;0.5;0.0;0.33333;0.0;0.0;0.0;0.0;0.16667;0.016377205909999644
28;ADA;2021-03-03;0.0;0.22222;0.0;0.77778;0.0;0.0;0.0;0.0;0.03571571349560996
29;ADA;2021-03-05;0.0;0.10526;0.0;0.57895;0.10526;0.0;0.0;0.21053;0.049581816741157976
30;ADA;2021-03-08;0.26786;0.07143;0.125;0.28571;0.125;0.0;0.0;0.125;0.14139221779901615
31;ADA;2021-03-09;0.01818;0.30909;0.07273;0.41818;0.03636;0.0;0.0;0.14545;0.13712033592507392
32;ADA;2021-03-11;0.21429;0.17857;0.0;0.21429;0.03571;0.0;0.0;0.35714;0.08122573830364883
33;ADA;2021-03-15;0.16667;0.0;0.0;0.66667;0.0;0.0;0.16667;0.0;0.009754291711202331
34;ADA;2021-03-16;0.0;0.1;0.0;0.7;0.0;0.0;0.0;0.2;0.026971867639279022
35;ADA;2021-03-18;0.00599;0.37126;0.0;0.58683;0.01796;0.0;0.00599;0.01198;0.2634959307492655
36;ADA;2021-03-19;0.00694;0.27083;0.00694;0.49306;0.04167;0.0;0.00694;0.17361;0.2984513154674165
37;ADA;2021-03-20;0.02885;0.33654;0.02885;0.55769;0.00962;0.0;0.0;0.03846;0.1270659132188252
38;ADA;2021-03-21;0.02667;0.24;0.0;0.48;0.01333;0.0;0.0;0.24;0.09920365177329366
39;ADA;2021-03-25;0.0;0.11111;0.0;0.44444;0.0;0.0;0.0;0.44444;0.01839809464984496
40;ADA;2021-03-27;0.03315;0.27072;0.03867;0.41436;0.0442;0.0;0.0;0.1989;0.425627290902416
41;ADA;2021-03-29;0.0;0.16667;0.0;0.5;0.0;0.0;0.33333;0.0;0.003891712258775548
42;ADA;2021-03-31;0.16667;0.16667;0.0;0.33333;0.0;0.0;0.33333;0.0;0.013485933630381338
43;ADA;2021-04-02;0.07143;0.07143;0.21429;0.35714;0.0;0.0;0.0;0.28571;0.022149745525254644
44;ADA;2021-04-03;0.08333;0.25;0.0;0.66667;0.0;0.0;0.0;0.0;0.04053783560963434
45;ADA;2021-04-06;0.09677;0.25806;0.06452;0.51613;0.03226;0.0;0.03226;0.0;0.0304533999349059
46;ADA;2021-04-07;0.14286;0.21429;0.14286;0.35714;0.14286;0.0;0.0;0.0;0.038576974670213586
47;ADA;2021-04-08;0.0;0.1875;0.0625;0.375;0.0;0.0;0.0;0.375;0.016827404164126012
48;ADA;2021-04-11;0.02685;0.26846;0.04027;0.51678;0.02013;0.0;0.01342;0.11409;0.29127816755066477
