,close
0,198.0
1,216.0
2,197.41
3,193.51
4,181.75
5,175.0
6,171.83
7,166.5
8,163.5
9,153.55
10,171.47
11,170.96
12,153.43
13,144.64
14,151.36
15,152.5
16,151.2
17,144.18
18,140.81
19,148.92
20,139.4
21,140.17
22,142.95
23,164.95
24,175.0
25,177.79
26,173.34
27,170.18
28,165.42
29,161.42
30,168.97
31,161.54
32,158.5
33,154.0
34,153.5
35,155.56
36,155.65
37,165.75
38,164.8
39,167.65
40,162.98
41,159.45
42,176.87
43,194.21
44,215.1
45,205.78
46,204.86
47,218.93
48,214.2
49,205.49
50,201.38
51,205.22
52,200.62
53,205.0
54,211.66
55,222.22
56,247.0
57,250.5
58,248.84
59,259.9
60,258.66
61,253.3
62,253.22
63,248.0
64,246.5
65,239.09
66,241.97
67,242.0
68,246.36
69,238.21
70,222.44
71,222.78
72,219.59
73,221.17
74,240.0
75,231.99
76,226.08
77,222.47
78,216.35
79,210.53
80,199.39
81,202.1
82,212.75
83,218.28
84,232.63
85,243.12
86,239.37
87,212.62
88,204.51
89,197.71
90,204.1
91,196.27
92,196.6
93,184.6
94,173.8
95,176.85
96,172.83
97,163.35
98,182.64
99,189.0
100,182.5
101,184.24
102,189.43
103,181.18
104,182.54
105,187.55
106,193.5
107,197.55
108,195.0
109,200.59
110,204.75
111,195.68
112,180.62
113,175.74
114,177.65
115,179.2
116,179.53
117,176.49
118,173.93
119,171.32
120,154.8
121,150.72
122,148.11
123,145.71
124,143.86
125,143.5
126,153.39
127,157.8
128,150.56
129,149.49
130,151.96
131,148.29
132,142.77
133,142.7
134,143.83
135,128.73
136,114.89
137,104.82
138,99.83
139,99.95
140,104.43
141,94.6
142,93.55
143,98.93
144,97.6
145,101.4
146,113.66
147,112.35
148,103.13
149,112.81
150,118.6
